complaint_id,complaint_text,model_input_text,language,user_persona,is_valid_grievance,primary_department,secondary_departments,department_labels,priority_level,sentiment,authenticity_label,fake_category,spam_flag,manipulation_flag,actionable,civic_relevance,governance_scope,public_safety_risk,escalation_required,trust_score,civic_score,department_confidence,ward_location,detected_language,translated_text,classifier_text
GRV-97B6A36884,"மதிப்பிற்குரிய சார், பூங்கா ஸ்லைடு இடிந்து குழந்தைகள் அருகில் உள்ளனர் பஸ் டெப்போ அருகில் காப்பாற்றுங்கள் !!! ⚠️",Critical public grievance related to Public Parks & Infrastructure. Citizen reports a civic issue needing government action.,Tamil,Elderly Citizen,1,Public Parks & Infrastructure,,Public Parks & Infrastructure,Critical,Panic,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,76,87,0.92,Ward-130,Tamil,Critical public grievance related to Public Parks & Infrastructure. Citizen reports a civic issue needing government action.,Critical public grievance related to Public Parks & Infrastructure. Citizen reports a civic issue needing government action.
GRV-8507BCB5A1,bro open drain me child gir gaya purane mandir ke piche sir kindly dekho 🥺,bro open drain me child gir gaya purane mandir ke piche sir kindly dekho 🥺,Hinglish,Student,1,Drainage & Flood Control,,Drainage & Flood Control,Medium,Pleading,Genuine,,False,False,True,Relevant,Municipal/Governance,False,False,91,96,0.86,Ward-36,Hinglish,bro open drain me child gir gaya purane mandir ke piche sir kindly dekho 🥺,bro open drain me child gir gaya purane mandir ke piche sir kindly dekho 🥺
GRV-CDF2BFA57E,வடிகால் மூடி சற்று தளர்ந்துள்ளது காய்கறி சந்தை அருகில் எத்தனை முறை புகார் செய்வது எங்கள் பகுதியில்,Medium public grievance related to Drainage & Flood Control. Citizen reports a civic issue needing government action.,Tamil,Rural Resident,1,Drainage & Flood Control,,Drainage & Flood Control,Medium,Angry,Genuine,,False,False,True,Relevant,Municipal/Governance,False,False,77,86,0.9,Ward-128,Tamil,Medium public grievance related to Drainage & Flood Control. Citizen reports a civic issue needing government action.,Medium public grievance related to Drainage & Flood Control. Citizen reports a civic issue needing government action.
GRV-0B30D83C95,field report: daily thodi der light chali jati basti wali gali me baar baar bola 😞,field report: daily thodi der electricity light chali jati basti wali gali me baar baar bola 😞,Hinglish,Public Worker,1,Electricity,,Electricity,Low,Frustrated,Genuine,,False,False,True,Relevant,Municipal/Governance,False,False,79,72,0.88,Ward-111,Hinglish,field report: daily thodi der electricity light chali jati basti wali gali me baar baar bola 😞,field report: daily thodi der electricity light chali jati basti wali gali me baar baar bola 😞
GRV-ED24804AD7,one lamp has been off for two days behind the old temple girls feel unsafe here,one lamp has been off for two days behind the old temple girls feel unsafe here,English,Women Complainant,1,Street Lighting,,Street Lighting,High,Neutral,Genuine,,False,False,True,Relevant,Municipal/Governance,True,False,75,75,0.96,Ward-31,English,one lamp has been off for two days behind the old temple girls feel unsafe here,one lamp has been off for two days behind the old temple girls feel unsafe here
GRV-DBD96A57BB,कुत्ता काटा we are tired now women are scared to go out,कुत्ता काटा we are tired now women are scared to go out,English,Women Complainant,1,Animal Control,,Animal Control,High,Frustrated,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,78,92,0.85,Ward-75,English,कुत्ता काटा we are tired now women are scared to go out,कुत्ता काटा we are tired now women are scared to go out
GRV-7393ECE45D,रात में कुछ लोग राहगीरों को परेशान कर रहे हैं मेट्रो गेट 2 के बाहर निवेदन है गांव वाले परेशान हैं,High public grievance related to Public Safety & Police. Citizen reports a civic issue needing government action.,Hindi,Rural Resident,1,Public Safety & Police,,Public Safety & Police,High,Pleading,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,73,75,0.91,Ward-115,Hindi,High public grievance related to Public Safety & Police. Citizen reports a civic issue needing government action.,High public grievance related to Public Safety & Police. Citizen reports a civic issue needing government action.
GRV-EB81FF2523,koi sunta nahi SOS pe app wrong location dikha raha railway crossing ke paas koi sunta nahi!!,koi sunta nahi SOS pe app wrong location dikha raha railway crossing ke paas koi sunta nahi!!,Hinglish,Angry Resident,1,Cyber & Digital Services,,Cyber & Digital Services,Critical,Angry,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,74,100,0.96,Ward-111,Hinglish,koi sunta nahi SOS pe app wrong location dikha raha railway crossing ke paas koi sunta nahi!!,koi sunta nahi SOS pe app wrong location dikha raha railway crossing ke paas koi sunta nahi!!
GRV-634790D769,warning board near low area is faded HELP people here are worried 😭,warning board near low area is faded HELP people here are worried 😭,English,Rural Resident,1,Disaster Management,,Disaster Management,Low,Panic,Genuine,,False,False,True,Relevant,Municipal/Governance,False,False,77,82,0.97,Ward-63,English,warning board near low area is faded HELP people here are worried 😭,warning board near low area is faded HELP people here are worried 😭
GRV-DA7F20CAF4,দাদা আবর্জনা উপচে ইঁদুর আসছে প্রশাসন ঘুমাচ্ছে,Medium public grievance related to Sanitation & Waste. Citizen reports a civic issue needing government action.,Bengali,Student,1,Sanitation & Waste,,Sanitation & Waste,Medium,Angry,Genuine,,False,False,True,Relevant,Municipal/Governance,False,False,84,90,0.81,Ward-103,Bengali,Medium public grievance related to Sanitation & Waste. Citizen reports a civic issue needing government action.,Medium public grievance related to Sanitation & Waste. Citizen reports a civic issue needing government action.
GRV-2C3ABAD4AB,bro pole is leaning badly over houses outside metro gate 2 right now please send help,bro pole is leaning badly over houses outside metro gate 2 right now please send help,English,Student,1,Electricity,,Electricity,High,Panic,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,91,88,0.92,Ward-1,English,bro pole is leaning badly over houses outside metro gate 2 right now please send help,bro pole is leaning badly over houses outside metro gate 2 right now please send help
GRV-F2F6F91328,பெரிய ஆபத்து பொது குப்பைத்தொட்டி மூடி உடைந்துள்ளது ரயில்வே கேட் அருகில் !!!,Medium public grievance related to Sanitation & Waste. Citizen reports a civic issue needing government action.,Tamil,Emotional Citizen,1,Sanitation & Waste,,Sanitation & Waste,Medium,Panic,Genuine,,False,False,True,Relevant,Municipal/Governance,False,False,78,81,0.89,Ward-116,Tamil,Medium public grievance related to Sanitation & Waste. Citizen reports a civic issue needing government action.,Medium public grievance related to Sanitation & Waste. Citizen reports a civic issue needing government action.
GRV-AA4589CA2B,factory smoke is causing breathing problem अब तक कुछ नहीं हुआ हमारी बस्ती में?,High public grievance involving Pollution Control and Health & Public Hygiene. Citizen reports a civic issue needing coordinated department action.,Hindi,Rural Resident,1,Pollution Control,Health & Public Hygiene,Pollution Control|Health & Public Hygiene,High,Frustrated,Genuine,,False,False,True,Relevant,Municipal/Governance,True,False,82,83,0.56,Ward-148,Hindi,High public grievance involving Pollution Control and Health & Public Hygiene. Citizen reports a civic issue needing coordinated department action.,High public grievance involving Pollution Control and Health & Public Hygiene. Citizen reports a civic issue needing coordinated department action.
GRV-AF97AEF31C,fever spreading मेहरबानी करके देखिए बहुत लापरवाही है,High public grievance related to Health & Public Hygiene. Citizen reports a civic issue needing government action.,Hindi,Angry Resident,1,Health & Public Hygiene,,Health & Public Hygiene,High,Angry,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,82,93,0.85,Ward-112,Hindi,High public grievance related to Health & Public Hygiene. Citizen reports a civic issue needing government action.,High public grievance related to Health & Public Hygiene. Citizen reports a civic issue needing government action.
GRV-28CB0FA88C,"மதிப்பிற்குரிய சார், stray dogs attacked children near school தகவலுக்காக 📍",High public grievance involving Animal Control and Public Safety & Police. Citizen reports a civic issue needing coordinated department action.,Tamil,Elderly Citizen,1,Animal Control,Public Safety & Police,Animal Control|Public Safety & Police,High,Neutral,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,84,93,0.45,Ward-82,Tamil,High public grievance involving Animal Control and Public Safety & Police. Citizen reports a civic issue needing coordinated department action.,High public grievance involving Animal Control and Public Safety & Police. Citizen reports a civic issue needing coordinated department action.
GRV-F917A896E1,dirty watr made many residents sick women bahar jane se dar rahi 📍,dirty watr made many residents sick women bahar jane se dar rahi 📍,Hinglish,Women Complainant,1,Water Supply,Health & Public Hygiene,Water Supply|Health & Public Hygiene,High,Neutral,Genuine,,False,False,True,Relevant,Municipal/Governance,True,False,94,75,0.63,Ward-143,Hinglish,dirty watr made many residents sick women bahar jane se dar rahi 📍,dirty watr made many residents sick women bahar jane se dar rahi 📍
GRV-F1EDFF6926,dark lane has become unsafe for girls at night gormint so rahi hai gormint so rahi hai,dark lane has become unsafe for girls at night gormint so rahi hai gormint so rahi hai,Hinglish,Angry Resident,1,Street Lighting,Women & Child Safety,Street Lighting|Women & Child Safety,High,Angry,Genuine,,False,False,True,Relevant,Municipal/Governance,True,False,76,86,0.45,Ward-147,Hinglish,dark lane has become unsafe for girls at night gormint so rahi hai gormint so rahi hai,dark lane has become unsafe for girls at night gormint so rahi hai gormint so rahi hai
GRV-FE08C79ADD,मच्छरों की वजह से बुखार के मामले बढ़ रहे हैं अस्पताल के सामने लड़कियां यहां असुरक्षित हैं,Medium public grievance related to Health & Public Hygiene. Citizen reports a civic issue needing government action.,Hindi,Women Complainant,1,Health & Public Hygiene,,Health & Public Hygiene,Medium,Neutral,Genuine,,False,False,True,Relevant,Municipal/Governance,False,False,85,97,0.87,Ward-24,Hindi,Medium public grievance related to Health & Public Hygiene. Citizen reports a civic issue needing government action.,Medium public grievance related to Health & Public Hygiene. Citizen reports a civic issue needing government action.
GRV-D1F34D0672,stray dogs attaced childrn near school உடனே வாருங்கள்,High public grievance involving Animal Control and Public Safety & Police. Citizen reports a civic issue needing coordinated department action.,Tamil,Low Literacy User,1,Animal Control,Public Safety & Police,Animal Control|Public Safety & Police,High,Panic,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,96,81,0.44,Ward-34,Tamil,High public grievance involving Animal Control and Public Safety & Police. Citizen reports a civic issue needing coordinated department action.,High public grievance involving Animal Control and Public Safety & Police. Citizen reports a civic issue needing coordinated department action.
GRV-A9080A8A18,child is being threatened by men outside school still unreolved,child is being threatened by men outside school still unreolved,English,Low Literacy User,1,Women & Child Safety,,Women & Child Safety,High,Frustrated,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,78,75,0.97,Ward-116,English,child is being threatened by men outside school still unreolved,child is being threatened by men outside school still unreolved
GRV-FBB47AF1AA,whole city destroyed everyoe dead govt sleeing report kar raha hu,whole city destroyed everyoe dead govt sleeing report kar raha hu,Hinglish,Low Literacy User,0,Not Applicable,,Not Applicable,Medium,Neutral,Fake,exaggerated_destruction,False,True,False,Partially Relevant,Unknown,False,False,10,30,0.0,Ward-59,Hinglish,whole city destroyed everyoe dead govt sleeing report kar raha hu,whole city destroyed everyoe dead govt sleeing report kar raha hu
GRV-2D16A1D061,smoke heavy விரைவில் சரி செய்யுங்கள் எங்கள் பகுதியில்,Low public grievance related to Fire Department. Citizen reports a civic issue needing government action.,Tamil,Rural Resident,1,Fire Department,,Fire Department,Low,Pleading,Genuine,,False,False,True,Relevant,Municipal/Governance,False,False,83,91,0.75,Ward-147,Tamil,Low public grievance related to Fire Department. Citizen reports a civic issue needing government action.,Low public grievance related to Fire Department. Citizen reports a civic issue needing government action.
GRV-3FFD8EA647,yaar gormint so rahi hai school gate pe help number board missing hospital ke saamne!! 🤬,yaar gormint so rahi hai school gate pe help number board missing hospital ke saamne!! 🤬,Hinglish,Student,1,Women & Child Safety,,Women & Child Safety,Low,Panic,Genuine,,False,False,True,Relevant,Municipal/Governance,False,False,95,90,0.85,Ward-80,Hinglish,yaar gormint so rahi hai school gate pe help number board missing hospital ke saamne!! 🤬,yaar gormint so rahi hai school gate pe help number board missing hospital ke saamne!! 🤬
GRV-4A556CBFA8,தெருவில் ஸ்விட்ச் பெட்டி தளர்ந்துள்ளது பஸ் டெப்போ அருகில் தகவலுக்காக பெண்கள் வெளியே செல்ல பயப்படுகிறார்கள்,Low public grievance related to Electricity. Citizen reports a civic issue needing government action.,Tamil,Women Complainant,1,Electricity,,Electricity,Low,Neutral,Genuine,,False,False,True,Relevant,Municipal/Governance,False,False,89,94,0.87,Ward-97,Tamil,Low public grievance related to Electricity. Citizen reports a civic issue needing government action.,Low public grievance related to Electricity. Citizen reports a civic issue needing government action.
GRV-CE4C5B4D31,flood inside कृपया पाहावे महिला बाहेर जाण्यास घाबरत आहेत,Critical public grievance related to Disaster Management. Citizen reports a civic issue needing government action.,Marathi,Women Complainant,1,Disaster Management,,Disaster Management,Critical,Pleading,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,82,91,0.92,Ward-7,Marathi,Critical public grievance related to Disaster Management. Citizen reports a civic issue needing government action.,Critical public grievance related to Disaster Management. Citizen reports a civic issue needing government action.
GRV-0686C20145,தீ அணைப்பான் பெட்டி கண்ணாடி விரிசல் உள்ளது தயவு செய்து உதவுங்கள்?,Critical public grievance related to Fire Department. Citizen reports a civic issue needing government action.,Tamil,Low Literacy User,1,Fire Department,,Fire Department,Critical,Pleading,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,88,97,0.9,Ward-12,Tamil,Critical public grievance related to Fire Department. Citizen reports a civic issue needing government action.,Critical public grievance related to Fire Department. Citizen reports a civic issue needing government action.
GRV-4B4D24F192,नाली का ढक्कन थोड़ा ढीला है जल्दी आइए हमारी बस्ती में,Medium public grievance related to Drainage & Flood Control. Citizen reports a civic issue needing government action.,Hindi,Rural Resident,1,Drainage & Flood Control,,Drainage & Flood Control,Medium,Panic,Genuine,,False,False,True,Relevant,Municipal/Governance,False,False,95,82,0.94,Ward-106,Hindi,Medium public grievance related to Drainage & Flood Control. Citizen reports a civic issue needing government action.,Medium public grievance related to Drainage & Flood Control. Citizen reports a civic issue needing government action.
GRV-2D306B3DE5,ভাই খোলা ড্রেনে বাচ্চা পড়ে গেছে কলোনির গেটে দয়া করে সাহায্য করুন,Medium public grievance related to Drainage & Flood Control. Citizen reports a civic issue needing government action.,Bengali,Student,1,Drainage & Flood Control,,Drainage & Flood Control,Medium,Pleading,Genuine,,False,False,True,Relevant,Municipal/Governance,False,False,90,79,0.87,Ward-44,Bengali,Medium public grievance related to Drainage & Flood Control. Citizen reports a civic issue needing government action.,Medium public grievance related to Drainage & Flood Control. Citizen reports a civic issue needing government action.
GRV-801B76D3E3,accident victim bleeding hai road pe wait kar raha govt school ke paas bachao,accident victim bleeding hai road pe wait kar raha govt school ke paas bachao,Hinglish,Emotional Citizen,1,Emergency Medical Response,,Emergency Medical Response,Critical,Panic,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,91,71,0.85,Ward-131,Hinglish,accident victim bleeding hai road pe wait kar raha govt school ke paas bachao,accident victim bleeding hai road pe wait kar raha govt school ke paas bachao
GRV-20FCDEE808,many children got sick after drinking local water near the bus depot no one is listening girls feel unsafe here 💢,many children got sick after drinking local water near the bus depot no one is listening girls feel unsafe here 💢,English,Women Complainant,1,Health & Public Hygiene,,Health & Public Hygiene,High,Angry,Genuine,,False,False,True,Relevant,Municipal/Governance,True,False,80,79,0.93,Ward-126,English,many children got sick after drinking local water near the bus depot no one is listening girls feel unsafe here 💢,many children got sick after drinking local water near the bus depot no one is listening girls feel unsafe here 💢
GRV-9EBE084438,dark lane has become unsafe for girls at night দয়া করে সাহায্য করুন কতবার অভিযোগ করব,High public grievance involving Street Lighting and Women & Child Safety. Citizen reports a civic issue needing coordinated department action.,Bengali,Angry Resident,1,Street Lighting,Women & Child Safety,Street Lighting|Women & Child Safety,High,Pleading,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,81,79,0.49,Ward-6,Bengali,High public grievance involving Street Lighting and Women & Child Safety. Citizen reports a civic issue needing coordinated department action.,High public grievance involving Street Lighting and Women & Child Safety. Citizen reports a civic issue needing coordinated department action.
GRV-15A52A650D,तातडीची गरज आहे ড্রেন বন্ধ ⚠️,Medium public grievance related to Drainage & Flood Control. Citizen reports a civic issue needing government action.,Marathi,Emotional Citizen,1,Drainage & Flood Control,,Drainage & Flood Control,Medium,Panic,Genuine,,False,False,True,Relevant,Municipal/Governance,False,False,72,97,0.71,Ward-58,Marathi,Medium public grievance related to Drainage & Flood Control. Citizen reports a civic issue needing government action.,Medium public grievance related to Drainage & Flood Control. Citizen reports a civic issue needing government action.
GRV-D19642ADF3,flood watr reahed electric box and sparks started অনেকবার বলেছি!!,Critical public grievance involving Drainage & Flood Control and Electricity. Citizen reports a civic issue needing coordinated department action.,Bengali,Emotional Citizen,1,Drainage & Flood Control,Electricity,Drainage & Flood Control|Electricity,Critical,Frustrated,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,95,84,0.55,Ward-114,Bengali,Critical public grievance involving Drainage & Flood Control and Electricity. Citizen reports a civic issue needing coordinated department action.,Critical public grievance involving Drainage & Flood Control and Electricity. Citizen reports a civic issue needing coordinated department action.
GRV-515785E055,नाली का पानी कई दिन से जमा है सरकारी स्कूल के पास मेहरबानी करके देखिए कोई सुनता ही नहीं 🥺,Medium public grievance related to Drainage & Flood Control. Citizen reports a civic issue needing government action.,Hindi,Angry Resident,1,Drainage & Flood Control,,Drainage & Flood Control,Medium,Pleading,Genuine,,False,False,True,Relevant,Municipal/Governance,False,False,84,96,0.95,Ward-35,Hindi,Medium public grievance related to Drainage & Flood Control. Citizen reports a civic issue needing government action.,Medium public grievance related to Drainage & Flood Control. Citizen reports a civic issue needing government action.
GRV-F8BE4F13A1,সাইট আপডেট: কতবার অভিযোগ করব gas leak!!,Critical public grievance related to Fire Department. Citizen reports a civic issue needing government action.,Bengali,Public Worker,1,Fire Department,,Fire Department,Critical,Angry,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,78,100,0.69,Ward-4,Bengali,Critical public grievance related to Fire Department. Citizen reports a civic issue needing government action.,Critical public grievance related to Fire Department. Citizen reports a civic issue needing government action.
GRV-4A9C76BE48,school gate pe help number board missing railway crossing ke paas baar baar bola gaon wale pareshan hain!! ⏳,school gate pe help number board missing railway crossing ke paas baar baar bola gaon wale pareshan hain!! ⏳,Hinglish,Rural Resident,1,Women & Child Safety,,Women & Child Safety,Low,Panic,Genuine,,False,False,True,Relevant,Municipal/Governance,False,False,82,71,0.97,Ward-18,Hinglish,school gate pe help number board missing railway crossing ke paas baar baar bola gaon wale pareshan hain!! ⏳,school gate pe help number board missing railway crossing ke paas baar baar bola gaon wale pareshan hain!! ⏳
GRV-F9B7EB14D7,"saheb, काला धुआं please note 📍","saheb, काला धुआं please note 📍",Hinglish,Elderly Citizen,1,Pollution Control,,Pollution Control,Low,Pleading,Genuine,,False,False,True,Relevant,Municipal/Governance,False,False,76,92,0.77,Ward-81,Hinglish,"saheb, काला धुआं please note 📍","saheb, काला धुआं please note 📍"
GRV-AFCF2F9FFD,स्कूल के बाहर कुछ लोग बच्चे को धमका रहे हैं पुराने मंदिर के पीछे तुरंत मदद चाहिए गांव वाले परेशान हैं !!!,High public grievance related to Women & Child Safety. Citizen reports a civic issue needing government action.,Hindi,Rural Resident,1,Women & Child Safety,,Women & Child Safety,High,Frustrated,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,83,90,0.94,Ward-18,Hindi,High public grievance related to Women & Child Safety. Citizen reports a civic issue needing government action.,High public grievance related to Women & Child Safety. Citizen reports a civic issue needing government action.
GRV-AE48A9CF3F,factory smoke is causing breathing problem कृपया लक्ष द्या आमच्या वस्तीमध्ये 🙏,High public grievance involving Pollution Control and Health & Public Hygiene. Citizen reports a civic issue needing coordinated department action.,Marathi,Rural Resident,1,Pollution Control,Health & Public Hygiene,Pollution Control|Health & Public Hygiene,High,Pleading,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,95,77,0.53,Ward-21,Marathi,High public grievance involving Pollution Control and Health & Public Hygiene. Citizen reports a civic issue needing coordinated department action.,High public grievance involving Pollution Control and Health & Public Hygiene. Citizen reports a civic issue needing coordinated department action.
GRV-4170CDA82A,"Sir, tree fell after storm and blocked ambulance route requesting you","Sir, tree fell after storm and blocked ambulance route requesting you",English,Elderly Citizen,1,Disaster Management,,Disaster Management,Medium,Pleading,Genuine,,False,False,True,Relevant,Municipal/Governance,False,False,78,81,0.93,Ward-44,English,"Sir, tree fell after storm and blocked ambulance route requesting you","Sir, tree fell after storm and blocked ambulance route requesting you"
GRV-62F206578C,बेकायदेशीर शेड आपत्कालीन रस्ता अडवत आहे रुग्णालयासमोर कृपया मदत करा,High public grievance related to Urban Housing & Encroachment. Citizen reports a civic issue needing government action.,Marathi,Emotional Citizen,1,Urban Housing & Encroachment,,Urban Housing & Encroachment,High,Panic,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,98,97,0.94,Ward-3,Marathi,High public grievance related to Urban Housing & Encroachment. Citizen reports a civic issue needing government action.,High public grievance related to Urban Housing & Encroachment. Citizen reports a civic issue needing government action.
GRV-C7C8E775CD,ऑनलाइन पोर्टलने पैसे कापले पण पावती नाही कृपया पाहावे खूप निष्काळजीपणा आहे,High public grievance related to Cyber & Digital Services. Citizen reports a civic issue needing government action.,Marathi,Angry Resident,1,Cyber & Digital Services,,Cyber & Digital Services,High,Pleading,Genuine,,False,False,True,Relevant,Municipal/Governance,True,False,93,77,0.96,Ward-54,Marathi,High public grievance related to Cyber & Digital Services. Citizen reports a civic issue needing government action.,High public grievance related to Cyber & Digital Services. Citizen reports a civic issue needing government action.
GRV-8C63E4850F,site update: many children got sick after drinking local water near the govt school since morning total negligence,site update: many children got sick after drinking local water near the govt school since morning total negligence,English,Public Worker,1,Health & Public Hygiene,,Health & Public Hygiene,High,Angry,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,94,83,0.89,Ward-30,English,site update: many children got sick after drinking local water near the govt school since morning total negligence,site update: many children got sick after drinking local water near the govt school since morning total negligence
GRV-E4CE85EDE4,தள தகவல்: எத்தனை முறை புகார் செய்வது ஓடும் பேருந்தின் கதவு திறந்து பயணி விழுந்தார் 💢,Critical public grievance related to Public Transport. Citizen reports a civic issue needing government action.,Tamil,Public Worker,1,Public Transport,,Public Transport,Critical,Angry,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,89,74,0.89,Ward-96,Tamil,Critical public grievance related to Public Transport. Citizen reports a civic issue needing government action.,Critical public grievance related to Public Transport. Citizen reports a civic issue needing government action.
