complaint_id,complaint_text,model_input_text,language,user_persona,is_valid_grievance,primary_department,secondary_departments,department_labels,priority_level,sentiment,authenticity_label,fake_category,spam_flag,manipulation_flag,actionable,civic_relevance,governance_scope,public_safety_risk,escalation_required,trust_score,civic_score,department_confidence,ward_location
GRV-97B6A36884,"மதிப்பிற்குரிய சார், பூங்கா ஸ்லைடு இடிந்து குழந்தைகள் அருகில் உள்ளனர் பஸ் டெப்போ அருகில் காப்பாற்றுங்கள் !!! ⚠️","மதிப்பிற்குரிய சார், பூங்கா ஸ்லைடு இடிந்து குழந்தைகள் அருகில் உள்ளனர் பஸ் டெப்போ அருகில் காப்பாற்றுங்கள் !!! ⚠️",Tamil,Elderly Citizen,1,Public Parks & Infrastructure,,Public Parks & Infrastructure,Critical,Panic,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,76,87,0.92,Ward-130
GRV-8507BCB5A1,bro open drain me child gir gaya purane mandir ke piche sir kindly dekho 🥺,bro open drain me child gir gaya purane mandir ke piche sir kindly dekho 🥺,Hinglish,Student,1,Drainage & Flood Control,,Drainage & Flood Control,Medium,Pleading,Genuine,,False,False,True,Relevant,Municipal/Governance,False,False,91,96,0.86,Ward-36
GRV-CDF2BFA57E,வடிகால் மூடி சற்று தளர்ந்துள்ளது காய்கறி சந்தை அருகில் எத்தனை முறை புகார் செய்வது எங்கள் பகுதியில்,வடிகால் மூடி சற்று தளர்ந்துள்ளது காய்கறி சந்தை அருகில் எத்தனை முறை புகார் செய்வது எங்கள் பகுதியில்,Tamil,Rural Resident,1,Drainage & Flood Control,,Drainage & Flood Control,Medium,Angry,Genuine,,False,False,True,Relevant,Municipal/Governance,False,False,77,86,0.9,Ward-128
GRV-0B30D83C95,field report: daily thodi der light chali jati basti wali gali me baar baar bola 😞,field report: daily thodi der light chali jati basti wali gali me baar baar bola 😞,Hinglish,Public Worker,1,Electricity,,Electricity,Low,Frustrated,Genuine,,False,False,True,Relevant,Municipal/Governance,False,False,79,72,0.88,Ward-111
GRV-ED24804AD7,one lamp has been off for two days behind the old temple girls feel unsafe here,one lamp has been off for two days behind the old temple girls feel unsafe here,English,Women Complainant,1,Street Lighting,,Street Lighting,High,Neutral,Genuine,,False,False,True,Relevant,Municipal/Governance,True,False,75,75,0.96,Ward-31
GRV-DBD96A57BB,कुत्ता काटा we are tired now women are scared to go out,कुत्ता काटा we are tired now women are scared to go out,English,Women Complainant,1,Animal Control,,Animal Control,High,Frustrated,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,78,92,0.85,Ward-75
GRV-7393ECE45D,रात में कुछ लोग राहगीरों को परेशान कर रहे हैं मेट्रो गेट 2 के बाहर निवेदन है गांव वाले परेशान हैं,रात में कुछ लोग राहगीरों को परेशान कर रहे हैं मेट्रो गेट 2 के बाहर निवेदन है गांव वाले परेशान हैं,Hindi,Rural Resident,1,Public Safety & Police,,Public Safety & Police,High,Pleading,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,73,75,0.91,Ward-115
GRV-EB81FF2523,koi sunta nahi SOS pe app wrong location dikha raha railway crossing ke paas koi sunta nahi!!,koi sunta nahi SOS pe app wrong location dikha raha railway crossing ke paas koi sunta nahi!!,Hinglish,Angry Resident,1,Cyber & Digital Services,,Cyber & Digital Services,Critical,Angry,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,74,100,0.96,Ward-111
GRV-634790D769,warning board near low area is faded HELP people here are worried 😭,warning board near low area is faded HELP people here are worried 😭,English,Rural Resident,1,Disaster Management,,Disaster Management,Low,Panic,Genuine,,False,False,True,Relevant,Municipal/Governance,False,False,77,82,0.97,Ward-63
GRV-DA7F20CAF4,দাদা আবর্জনা উপচে ইঁদুর আসছে প্রশাসন ঘুমাচ্ছে,দাদা আবর্জনা উপচে ইঁদুর আসছে প্রশাসন ঘুমাচ্ছে,Bengali,Student,1,Sanitation & Waste,,Sanitation & Waste,Medium,Angry,Genuine,,False,False,True,Relevant,Municipal/Governance,False,False,84,90,0.81,Ward-103
GRV-2C3ABAD4AB,bro pole is leaning badly over houses outside metro gate 2 right now please send help,bro pole is leaning badly over houses outside metro gate 2 right now please send help,English,Student,1,Electricity,,Electricity,High,Panic,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,91,88,0.92,Ward-1
GRV-F2F6F91328,பெரிய ஆபத்து பொது குப்பைத்தொட்டி மூடி உடைந்துள்ளது ரயில்வே கேட் அருகில் !!!,பெரிய ஆபத்து பொது குப்பைத்தொட்டி மூடி உடைந்துள்ளது ரயில்வே கேட் அருகில் !!!,Tamil,Emotional Citizen,1,Sanitation & Waste,,Sanitation & Waste,Medium,Panic,Genuine,,False,False,True,Relevant,Municipal/Governance,False,False,78,81,0.89,Ward-116
GRV-AA4589CA2B,factory smoke is causing breathing problem अब तक कुछ नहीं हुआ हमारी बस्ती में?,factory smoke is causing breathing problem अब तक कुछ नहीं हुआ हमारी बस्ती में?,Hindi,Rural Resident,1,Pollution Control,Health & Public Hygiene,Pollution Control|Health & Public Hygiene,High,Frustrated,Genuine,,False,False,True,Relevant,Municipal/Governance,True,False,82,83,0.56,Ward-148
GRV-AF97AEF31C,fever spreading मेहरबानी करके देखिए बहुत लापरवाही है,fever spreading मेहरबानी करके देखिए बहुत लापरवाही है,Hindi,Angry Resident,1,Health & Public Hygiene,,Health & Public Hygiene,High,Angry,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,82,93,0.85,Ward-112
GRV-28CB0FA88C,"மதிப்பிற்குரிய சார், stray dogs attacked children near school தகவலுக்காக 📍","மதிப்பிற்குரிய சார், stray dogs attacked children near school தகவலுக்காக 📍",Tamil,Elderly Citizen,1,Animal Control,Public Safety & Police,Animal Control|Public Safety & Police,High,Neutral,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,84,93,0.45,Ward-82
GRV-F917A896E1,dirty watr made many residents sick women bahar jane se dar rahi 📍,dirty watr made many residents sick women bahar jane se dar rahi 📍,Hinglish,Women Complainant,1,Water Supply,Health & Public Hygiene,Water Supply|Health & Public Hygiene,High,Neutral,Genuine,,False,False,True,Relevant,Municipal/Governance,True,False,94,75,0.63,Ward-143
GRV-F1EDFF6926,dark lane has become unsafe for girls at night gormint so rahi hai gormint so rahi hai,dark lane has become unsafe for girls at night gormint so rahi hai gormint so rahi hai,Hinglish,Angry Resident,1,Street Lighting,Women & Child Safety,Street Lighting|Women & Child Safety,High,Angry,Genuine,,False,False,True,Relevant,Municipal/Governance,True,False,76,86,0.45,Ward-147
GRV-FE08C79ADD,मच्छरों की वजह से बुखार के मामले बढ़ रहे हैं अस्पताल के सामने लड़कियां यहां असुरक्षित हैं,मच्छरों की वजह से बुखार के मामले बढ़ रहे हैं अस्पताल के सामने लड़कियां यहां असुरक्षित हैं,Hindi,Women Complainant,1,Health & Public Hygiene,,Health & Public Hygiene,Medium,Neutral,Genuine,,False,False,True,Relevant,Municipal/Governance,False,False,85,97,0.87,Ward-24
GRV-D1F34D0672,stray dogs attaced childrn near school உடனே வாருங்கள்,stray dogs attaced childrn near school உடனே வாருங்கள்,Tamil,Low Literacy User,1,Animal Control,Public Safety & Police,Animal Control|Public Safety & Police,High,Panic,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,96,81,0.44,Ward-34
GRV-A9080A8A18,child is being threatened by men outside school still unreolved,child is being threatened by men outside school still unreolved,English,Low Literacy User,1,Women & Child Safety,,Women & Child Safety,High,Frustrated,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,78,75,0.97,Ward-116
GRV-FBB47AF1AA,whole city destroyed everyoe dead govt sleeing report kar raha hu,whole city destroyed everyoe dead govt sleeing report kar raha hu,Hinglish,Low Literacy User,0,Not Applicable,,Not Applicable,Medium,Neutral,Fake,exaggerated_destruction,False,True,False,Partially Relevant,Unknown,False,False,10,30,0.0,Ward-59
GRV-2D16A1D061,smoke heavy விரைவில் சரி செய்யுங்கள் எங்கள் பகுதியில்,smoke heavy விரைவில் சரி செய்யுங்கள் எங்கள் பகுதியில்,Tamil,Rural Resident,1,Fire Department,,Fire Department,Low,Pleading,Genuine,,False,False,True,Relevant,Municipal/Governance,False,False,83,91,0.75,Ward-147
GRV-3FFD8EA647,yaar gormint so rahi hai school gate pe help number board missing hospital ke saamne!! 🤬,yaar gormint so rahi hai school gate pe help number board missing hospital ke saamne!! 🤬,Hinglish,Student,1,Women & Child Safety,,Women & Child Safety,Low,Panic,Genuine,,False,False,True,Relevant,Municipal/Governance,False,False,95,90,0.85,Ward-80
GRV-4A556CBFA8,தெருவில் ஸ்விட்ச் பெட்டி தளர்ந்துள்ளது பஸ் டெப்போ அருகில் தகவலுக்காக பெண்கள் வெளியே செல்ல பயப்படுகிறார்கள்,தெருவில் ஸ்விட்ச் பெட்டி தளர்ந்துள்ளது பஸ் டெப்போ அருகில் தகவலுக்காக பெண்கள் வெளியே செல்ல பயப்படுகிறார்கள்,Tamil,Women Complainant,1,Electricity,,Electricity,Low,Neutral,Genuine,,False,False,True,Relevant,Municipal/Governance,False,False,89,94,0.87,Ward-97
GRV-CE4C5B4D31,flood inside कृपया पाहावे महिला बाहेर जाण्यास घाबरत आहेत,flood inside कृपया पाहावे महिला बाहेर जाण्यास घाबरत आहेत,Marathi,Women Complainant,1,Disaster Management,,Disaster Management,Critical,Pleading,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,82,91,0.92,Ward-7
GRV-0686C20145,தீ அணைப்பான் பெட்டி கண்ணாடி விரிசல் உள்ளது தயவு செய்து உதவுங்கள்?,தீ அணைப்பான் பெட்டி கண்ணாடி விரிசல் உள்ளது தயவு செய்து உதவுங்கள்?,Tamil,Low Literacy User,1,Fire Department,,Fire Department,Critical,Pleading,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,88,97,0.9,Ward-12
GRV-4B4D24F192,नाली का ढक्कन थोड़ा ढीला है जल्दी आइए हमारी बस्ती में,नाली का ढक्कन थोड़ा ढीला है जल्दी आइए हमारी बस्ती में,Hindi,Rural Resident,1,Drainage & Flood Control,,Drainage & Flood Control,Medium,Panic,Genuine,,False,False,True,Relevant,Municipal/Governance,False,False,95,82,0.94,Ward-106
GRV-2D306B3DE5,ভাই খোলা ড্রেনে বাচ্চা পড়ে গেছে কলোনির গেটে দয়া করে সাহায্য করুন,ভাই খোলা ড্রেনে বাচ্চা পড়ে গেছে কলোনির গেটে দয়া করে সাহায্য করুন,Bengali,Student,1,Drainage & Flood Control,,Drainage & Flood Control,Medium,Pleading,Genuine,,False,False,True,Relevant,Municipal/Governance,False,False,90,79,0.87,Ward-44
GRV-801B76D3E3,accident victim bleeding hai road pe wait kar raha govt school ke paas bachao,accident victim bleeding hai road pe wait kar raha govt school ke paas bachao,Hinglish,Emotional Citizen,1,Emergency Medical Response,,Emergency Medical Response,Critical,Panic,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,91,71,0.85,Ward-131
GRV-20FCDEE808,many children got sick after drinking local water near the bus depot no one is listening girls feel unsafe here 💢,many children got sick after drinking local water near the bus depot no one is listening girls feel unsafe here 💢,English,Women Complainant,1,Health & Public Hygiene,,Health & Public Hygiene,High,Angry,Genuine,,False,False,True,Relevant,Municipal/Governance,True,False,80,79,0.93,Ward-126
GRV-9EBE084438,dark lane has become unsafe for girls at night দয়া করে সাহায্য করুন কতবার অভিযোগ করব,dark lane has become unsafe for girls at night দয়া করে সাহায্য করুন কতবার অভিযোগ করব,Bengali,Angry Resident,1,Street Lighting,Women & Child Safety,Street Lighting|Women & Child Safety,High,Pleading,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,81,79,0.49,Ward-6
GRV-15A52A650D,तातडीची गरज आहे ড্রেন বন্ধ ⚠️,तातडीची गरज आहे ড্রেন বন্ধ ⚠️,Marathi,Emotional Citizen,1,Drainage & Flood Control,,Drainage & Flood Control,Medium,Panic,Genuine,,False,False,True,Relevant,Municipal/Governance,False,False,72,97,0.71,Ward-58
GRV-D19642ADF3,flood watr reahed electric box and sparks started অনেকবার বলেছি!!,flood watr reahed electric box and sparks started অনেকবার বলেছি!!,Bengali,Emotional Citizen,1,Drainage & Flood Control,Electricity,Drainage & Flood Control|Electricity,Critical,Frustrated,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,95,84,0.55,Ward-114
GRV-515785E055,नाली का पानी कई दिन से जमा है सरकारी स्कूल के पास मेहरबानी करके देखिए कोई सुनता ही नहीं 🥺,नाली का पानी कई दिन से जमा है सरकारी स्कूल के पास मेहरबानी करके देखिए कोई सुनता ही नहीं 🥺,Hindi,Angry Resident,1,Drainage & Flood Control,,Drainage & Flood Control,Medium,Pleading,Genuine,,False,False,True,Relevant,Municipal/Governance,False,False,84,96,0.95,Ward-35
GRV-F8BE4F13A1,সাইট আপডেট: কতবার অভিযোগ করব gas leak!!,সাইট আপডেট: কতবার অভিযোগ করব gas leak!!,Bengali,Public Worker,1,Fire Department,,Fire Department,Critical,Angry,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,78,100,0.69,Ward-4
GRV-4A9C76BE48,school gate pe help number board missing railway crossing ke paas baar baar bola gaon wale pareshan hain!! ⏳,school gate pe help number board missing railway crossing ke paas baar baar bola gaon wale pareshan hain!! ⏳,Hinglish,Rural Resident,1,Women & Child Safety,,Women & Child Safety,Low,Panic,Genuine,,False,False,True,Relevant,Municipal/Governance,False,False,82,71,0.97,Ward-18
GRV-F9B7EB14D7,"saheb, काला धुआं please note 📍","saheb, काला धुआं please note 📍",Hinglish,Elderly Citizen,1,Pollution Control,,Pollution Control,Low,Pleading,Genuine,,False,False,True,Relevant,Municipal/Governance,False,False,76,92,0.77,Ward-81
GRV-AFCF2F9FFD,स्कूल के बाहर कुछ लोग बच्चे को धमका रहे हैं पुराने मंदिर के पीछे तुरंत मदद चाहिए गांव वाले परेशान हैं !!!,स्कूल के बाहर कुछ लोग बच्चे को धमका रहे हैं पुराने मंदिर के पीछे तुरंत मदद चाहिए गांव वाले परेशान हैं !!!,Hindi,Rural Resident,1,Women & Child Safety,,Women & Child Safety,High,Frustrated,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,83,90,0.94,Ward-18
GRV-AE48A9CF3F,factory smoke is causing breathing problem कृपया लक्ष द्या आमच्या वस्तीमध्ये 🙏,factory smoke is causing breathing problem कृपया लक्ष द्या आमच्या वस्तीमध्ये 🙏,Marathi,Rural Resident,1,Pollution Control,Health & Public Hygiene,Pollution Control|Health & Public Hygiene,High,Pleading,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,95,77,0.53,Ward-21
GRV-4170CDA82A,"Sir, tree fell after storm and blocked ambulance route requesting you","Sir, tree fell after storm and blocked ambulance route requesting you",English,Elderly Citizen,1,Disaster Management,,Disaster Management,Medium,Pleading,Genuine,,False,False,True,Relevant,Municipal/Governance,False,False,78,81,0.93,Ward-44
GRV-62F206578C,बेकायदेशीर शेड आपत्कालीन रस्ता अडवत आहे रुग्णालयासमोर कृपया मदत करा,बेकायदेशीर शेड आपत्कालीन रस्ता अडवत आहे रुग्णालयासमोर कृपया मदत करा,Marathi,Emotional Citizen,1,Urban Housing & Encroachment,,Urban Housing & Encroachment,High,Panic,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,98,97,0.94,Ward-3
GRV-C7C8E775CD,ऑनलाइन पोर्टलने पैसे कापले पण पावती नाही कृपया पाहावे खूप निष्काळजीपणा आहे,ऑनलाइन पोर्टलने पैसे कापले पण पावती नाही कृपया पाहावे खूप निष्काळजीपणा आहे,Marathi,Angry Resident,1,Cyber & Digital Services,,Cyber & Digital Services,High,Pleading,Genuine,,False,False,True,Relevant,Municipal/Governance,True,False,93,77,0.96,Ward-54
GRV-8C63E4850F,site update: many children got sick after drinking local water near the govt school since morning total negligence,site update: many children got sick after drinking local water near the govt school since morning total negligence,English,Public Worker,1,Health & Public Hygiene,,Health & Public Hygiene,High,Angry,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,94,83,0.89,Ward-30
GRV-E4CE85EDE4,தள தகவல்: எத்தனை முறை புகார் செய்வது ஓடும் பேருந்தின் கதவு திறந்து பயணி விழுந்தார் 💢,தள தகவல்: எத்தனை முறை புகார் செய்வது ஓடும் பேருந்தின் கதவு திறந்து பயணி விழுந்தார் 💢,Tamil,Public Worker,1,Public Transport,,Public Transport,Critical,Angry,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,89,74,0.89,Ward-96
GRV-B63FE05713,দাদা কেউ শোনে না ড্রেনের ঢাকনা একটু ঢিলা বাস ডিপোর কাছে 🤬,দাদা কেউ শোনে না ড্রেনের ঢাকনা একটু ঢিলা বাস ডিপোর কাছে 🤬,Bengali,Student,1,Drainage & Flood Control,,Drainage & Flood Control,Medium,Angry,Genuine,,False,False,True,Relevant,Municipal/Governance,False,False,78,79,0.86,Ward-109
GRV-170FC60954,total negligence electric sparks are coing from light pole after rain outside metro gate 2 right now!! 💢,total negligence electric sparks are coing from light pole after rain outside metro gate 2 right now!! 💢,English,Low Literacy User,1,Street Lighting,,Street Lighting,Critical,Angry,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,93,82,0.93,Ward-129
GRV-FC6AE3489D,SITE UPDATE: BUS SHELTER ROOF LEAKS DURING RAIN HELP,SITE UPDATE: BUS SHELTER ROOF LEAKS DURING RAIN HELP,English,Public Worker,1,Public Transport,,Public Transport,High,Panic,Genuine,,False,False,True,Relevant,Municipal/Governance,True,False,91,76,0.96,Ward-46
GRV-F2E4F58F02,आग लगी தகவலுக்காக எத்தனை முறை புகார் செய்வது,आग लगी தகவலுக்காக எத்தனை முறை புகார் செய்வது,Tamil,Angry Resident,1,Fire Department,,Fire Department,Critical,Neutral,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,82,100,0.81,Ward-145
GRV-B443370B39,drain water is standing for days near railway crossing since morning kindly resolve in our basti 🥺,drain water is standing for days near railway crossing since morning kindly resolve in our basti 🥺,English,Rural Resident,1,Drainage & Flood Control,,Drainage & Flood Control,Medium,Pleading,Genuine,,False,False,True,Relevant,Municipal/Governance,False,False,77,75,0.86,Ward-141
GRV-8D6BE9147A,குழாய் கசிவால் தினமும் தண்ணீர் வீணாகிறது காய்கறி சந்தை அருகில் தயவு செய்து கவனிக்கவும் யாரும் கேட்கவில்லை 📍,குழாய் கசிவால் தினமும் தண்ணீர் வீணாகிறது காய்கறி சந்தை அருகில் தயவு செய்து கவனிக்கவும் யாரும் கேட்கவில்லை 📍,Tamil,Angry Resident,1,Water Supply,,Water Supply,Medium,Pleading,Genuine,,False,False,True,Relevant,Municipal/Governance,False,False,98,82,0.9,Ward-106
GRV-8653DF469D,பெண்களுக்கு தொந்தரவு अनेकदा सांगितलं महिला बाहेर जाण्यास घाबरत आहेत?,பெண்களுக்கு தொந்தரவு अनेकदा सांगितलं महिला बाहेर जाण्यास घाबरत आहेत?,Marathi,Women Complainant,1,Women & Child Safety,,Women & Child Safety,High,Frustrated,Genuine,,False,False,True,Relevant,Municipal/Governance,True,False,82,70,0.88,Ward-142
GRV-ACF9626422,फैक्ट्री की रासायनिक बदबू से लोग बेहोश हो रहे हैं बस्ती वाली गली में महिलाएं बाहर जाने से डर रही हैं?,फैक्ट्री की रासायनिक बदबू से लोग बेहोश हो रहे हैं बस्ती वाली गली में महिलाएं बाहर जाने से डर रही हैं?,Hindi,Women Complainant,1,Pollution Control,,Pollution Control,Critical,Neutral,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,88,74,0.93,Ward-139
GRV-ADBA599A73,"দয়া করে, খোলা ড্রেনে বাচ্চা পড়ে গেছে কেউ শোনে না!!","দয়া করে, খোলা ড্রেনে বাচ্চা পড়ে গেছে কেউ শোনে না!!",Bengali,Elderly Citizen,1,Drainage & Flood Control,,Drainage & Flood Control,Medium,Angry,Genuine,,False,False,True,Relevant,Municipal/Governance,False,False,88,77,0.97,Ward-6
GRV-A685E33571,flood water reached electric box and sparks sarted দয়া করে দেখুন,flood water reached electric box and sparks sarted দয়া করে দেখুন,Bengali,Low Literacy User,1,Drainage & Flood Control,Electricity,Drainage & Flood Control|Electricity,Critical,Pleading,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,79,78,0.6,Ward-126
GRV-43E6BBF968,அண்ணா உணவு கடைகள் அருகில் எரிவாயு கசிகிறது சேரி தெருவில் மிக அலட்சியம் 😡,அண்ணா உணவு கடைகள் அருகில் எரிவாயு கசிகிறது சேரி தெருவில் மிக அலட்சியம் 😡,Tamil,Student,1,Fire Department,,Fire Department,High,Angry,Genuine,,False,False,True,Relevant,Municipal/Governance,True,False,86,81,0.95,Ward-75
GRV-B330E2322E,किती वेळा तक्रार करायची नालीचे झाकण थोडे सैल आहे महामार्गाच्या वळणावर खूप निष्काळजीपणा आहे!! 💢,किती वेळा तक्रार करायची नालीचे झाकण थोडे सैल आहे महामार्गाच्या वळणावर खूप निष्काळजीपणा आहे!! 💢,Marathi,Angry Resident,1,Drainage & Flood Control,,Drainage & Flood Control,Medium,Angry,Genuine,,False,False,True,Relevant,Municipal/Governance,False,False,85,78,0.89,Ward-118
GRV-FED4CAC14C,school gate pe help number board missing railway crossing ke paas sir kindly dekho ladkiyan unsafe feel kar rahi 🥺,school gate pe help number board missing railway crossing ke paas sir kindly dekho ladkiyan unsafe feel kar rahi 🥺,Hinglish,Women Complainant,1,Women & Child Safety,,Women & Child Safety,High,Panic,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,94,82,0.94,Ward-99
GRV-1DC87051FE,sewer overflow is causing traffic jam कोई सुनता ही नहीं 📍,sewer overflow is causing traffic jam कोई सुनता ही नहीं 📍,Hindi,Angry Resident,1,Sanitation & Waste,Roads & Traffic,Sanitation & Waste|Roads & Traffic,Medium,Neutral,Genuine,,False,False,True,Relevant,Municipal/Governance,False,False,75,90,0.42,Ward-35
GRV-DD09D31C9C,"साहेब, शाळेच्या गेटवर मदत क्रमांकाचा बोर्ड नाही कॉलनीच्या गेटवर कृपया पाहावे","साहेब, शाळेच्या गेटवर मदत क्रमांकाचा बोर्ड नाही कॉलनीच्या गेटवर कृपया पाहावे",Marathi,Elderly Citizen,1,Women & Child Safety,,Women & Child Safety,Low,Panic,Genuine,,False,False,True,Relevant,Municipal/Governance,False,False,77,91,0.93,Ward-43
GRV-4CC40CE7FC,नाली जाम कई बार बताया महिलाएं बाहर जाने से डर रही हैं ⏳,नाली जाम कई बार बताया महिलाएं बाहर जाने से डर रही हैं ⏳,Hindi,Women Complainant,1,Drainage & Flood Control,,Drainage & Flood Control,Medium,Frustrated,Genuine,,False,False,True,Relevant,Municipal/Governance,False,False,76,86,0.96,Ward-96
GRV-3DEAD9A68A,ড্রেনের ঢাকনা একটু ঢিলা হাইওয়ে মোড়ে এখানে মহিলারা নিরাপদ নন,ড্রেনের ঢাকনা একটু ঢিলা হাইওয়ে মোড়ে এখানে মহিলারা নিরাপদ নন,Bengali,Women Complainant,1,Drainage & Flood Control,,Drainage & Flood Control,Medium,Neutral,Genuine,,False,False,True,Relevant,Municipal/Governance,False,False,95,90,0.92,Ward-133
GRV-62F1740496,transformer blast damaged road edge अजून काही झालं नाही मुलींना असुरक्षित वाटते,transformer blast damaged road edge अजून काही झालं नाही मुलींना असुरक्षित वाटते,Marathi,Women Complainant,1,Electricity,Roads & Traffic,Electricity|Roads & Traffic,Critical,Frustrated,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,81,88,0.57,Ward-81
