complaint_id,complaint_text,language,department_label,priority_level,sentiment,ward_location
GRV-2024-101036,सड़क नीचे जा रही है एटीएम के सामने!!,Hindi,Roads & Traffic,Critical,Frustrated,Ward_11
GRV-2024-101293,sgnl khrb pda ha dry bth ke pss!!!,Hinglish,Roads & Traffic,Critical,Frustrated,Ward_16
GRV-2024-101952,Completely unacceptable gutter overflowing into houses near petrol pump,English,Sanitation & Waste,High,Neutral,Ward_18
GRV-2024-101449,during power cut tanker did not come near govt cshool,English,Water Supply,Low,Frustrated,Ward_20
GRV-2024-102359,Gym broken ????,Hindi,Public Parks & Infrastructure,Critical,Neutral,Ward_23
GRV-2024-101465,smlly wtr,Hinglish,Water Supply,Critical,Frustrated,Ward_06
GRV-2024-100298,during the storm short circuit happened,English,Electricity,High,Angry,Ward_27
GRV-2024-102177,near gotv school public toilet has no water,English,Public Parks & Infrastructure,Low,Panic,Ward_02
GRV-2024-100178,completely unacceptable heavy spark from transformer near petrol pump during power cut!!,English,Electricity,Critical,Neutral,Ward_02
GRV-2024-101187,slippery mud everywhere in public garden,English,Roads & Traffic,High,Angry,Ward_14
GRV-2024-101472,Bachao kichad wala paani aa raha hospital ke bagal me,Hinglish,Water Supply,Critical,Frustrated,Ward_01
GRV-2024-100188,nng tar ltk rh h pwr ct k tim market rd p,Hinglish,Electricity,High,Panic,Ward_24
GRV-2024-100572,சாலையில் மின்சாரம் பரவுகிறது கோவில் வெளியே,Tamil,Electricity,Critical,Panic,Ward_03
GRV-2024-100433,ARRE YR PR CLNY M NDHER HI J ACHNK ????,Hinglish,Electricity,Critical,Angry,Ward_17
GRV-2024-100518,garden me meter me aag lag gayi!!,Hinglish,Electricity,Critical,Frustrated,Ward_23
GRV-2024-102346,fesitval bheed me Emergency hai slum area me public toilet me paani nahi!!!,Hinglish,Public Parks & Infrastructure,Critical,Angry,Ward_21
GRV-2024-102271,jhoole toot gaye hain atm ke saamne,Hinglish,Public Parks & Infrastructure,High,Angry,Ward_24
GRV-2024-101084,রাস্তা ধসে গেছে দয়া করে সাহায্য করুন,Bengali,Roads & Traffic,High,Frustrated,Ward_01
GRV-2024-101288,khod ke chhod diya bus stand ke waha,Hinglish,Roads & Traffic,Critical,Frustrated,Ward_06
GRV-2024-101123,SLIPPERY MUD EVERYWHERE AFTER PIPELINE DIGGING OUTSIDE TEMPLE,English,Roads & Traffic,Critical,Panic,Ward_17
GRV-2024-101341,nl skh gay pipln khda k bd partment k bgal me Bh,Hinglish,Water Supply,High,Frustrated,Ward_02
GRV-2024-102256,রাস্তার কুকুর মন্দিরের বাইরে,Bengali,Public Parks & Infrastructure,Low,Panic,Ward_14
GRV-2024-101490,टैंकर नहीं आया तूफान के दौरान रेलवे क्रॉसिंग के पास,Hindi,Water Supply,Critical,Frustrated,Ward_08
GRV-2024-100043,short circuit happened since yesterday evening near bus stand,English,Electricity,Critical,Panic,Ward_27
GRV-2024-101878,MACCHR BOHT H GY METR STATN K PSS!!!,Hinglish,Sanitation & Waste,Critical,Angry,Ward_28
GRV-2024-100450,சாலையில் மின்சாரம் பரவுகிறது மருத்துவமனை முன்,Tamil,Electricity,Medium,Panic,Ward_07
GRV-2024-102045,look at this otxic smoke from garbage during festival crowd!!,English,Sanitation & Waste,Critical,Pleading,Ward_03
GRV-2024-100044,ROAD PE CURRENT AA RAHA HAI COLOYN GATE PAR,Hinglish,Electricity,Critical,Panic,Ward_27
GRV-2024-101283,बिजली कटौती के दौरान डेयरी बूथ के पास मैनहोल खुला है,Hindi,Roads & Traffic,High,Frustrated,Ward_01
GRV-2024-101967,raat ke time sfaai nahi hui coaching center ke bahar,Hinglish,Sanitation & Waste,High,Frustrated,Ward_27
GRV-2024-102090,MRGNCY HI SAF NH H TRFFIC CHURH PE,Hinglish,Sanitation & Waste,High,Panic,Ward_01
GRV-2024-100254,ट्रांसफार्मर में आग लग गई अस्पताल के सामने,Hindi,Electricity,High,Panic,Ward_21
GRV-2024-101945,Smell,Tamil,Sanitation & Waste,High,Panic,Ward_02
GRV-2024-101874,கழிவுநீர் வீட்டிற்குள் மின்வெட்டின் போது அரசு பள்ளி அருகில்,Tamil,Sanitation & Waste,Low,Panic,Ward_20
GRV-2024-101862,emergency hai kachre se dhuaan aa raha railway crossing pe power cut ke time!!!,Hinglish,Sanitation & Waste,Critical,Panic,Ward_10
GRV-2024-100564,pole fell down during the storm at traffic sqaure ????,English,Electricity,Critical,Frustrated,Ward_19
GRV-2024-100212,CRRNT SPRDING N RAD FTR CONSTRCTION WORK N PBLC GRDN,English,Electricity,Low,Panic,Ward_11
GRV-2024-100866,SLPPRY MD VRYWHR TSID CCHNG CENTR,English,Roads & Traffic,Critical,Angry,Ward_17
GRV-2024-100742,Jaldi dekho garden me manhole khula hai,Hinglish,Roads & Traffic,High,Panic,Ward_22
GRV-2024-101251,Emergency hai signal kharab pada hai metro station ke pass,Hinglish,Roads & Traffic,High,Frustrated,Ward_18
GRV-2024-101047,rod pr dhans gy piplne khudai k bd,Hinglish,Roads & Traffic,Medium,Frustrated,Ward_17
GRV-2024-101736,Tanker needed ????,Hindi,Water Supply,Critical,Angry,Ward_24
GRV-2024-101017,khod ke chhd dy cchng centr k bhr,Hinglish,Roads & Traffic,High,Panic,Ward_08
GRV-2024-100170,मीटर बॉक्स जल गया अपार्टमेंट के पास,Hindi,Electricity,High,Frustrated,Ward_15
GRV-2024-102096,KACHRE SE DUHAAN AA RAHA MANDIR KE BAHAR ????,Hinglish,Sanitation & Waste,Critical,Panic,Ward_03
GRV-2024-102487,gym k sman toot gay wtrlggng k bd slm r m,Hinglish,Public Parks & Infrastructure,High,Angry,Ward_05
GRV-2024-102217,gym brokne,English,Public Parks & Infrastructure,Critical,Angry,Ward_19
GRV-2024-101797,gutter overflowing into houses near bus stand,English,Sanitation & Waste,Low,Frustrated,Ward_06
GRV-2024-100544,ट्रांसफार्मर से स्पार्किंग हो रही है रेलवे क्रॉसिंग के पास,Hindi,Electricity,Low,Frustrated,Ward_06
GRV-2024-101221,पाणी साचल्यानंतर ATM जवळ मोठा खड्डा पडला आहे,Marathi,Roads & Traffic,Medium,Panic,Ward_01
GRV-2024-100463,खांब पडला रेल्वे क्रॉसिंगजवळ,Marathi,Electricity,High,Panic,Ward_15
GRV-2024-100988,TTNTION RD SNKNG TSD TEMPL FTER WATERLOGGNG,English,Roads & Traffic,High,Angry,Ward_20
GRV-2024-101321,on market road during power cut extremely low pressure,English,Water Supply,High,Frustrated,Ward_16
GRV-2024-100602,ट्रान्सफॉर्मरचा स्फोट झाला,Marathi,Electricity,High,Angry,Ward_05
GRV-2024-101336,नल सूखे हैं रेलवे क्रॉसिंग के पास,Hindi,Water Supply,Low,Panic,Ward_22
GRV-2024-102339,Terrible situation open gym equipment damaged at traffic square,English,Public Parks & Infrastructure,Medium,Angry,Ward_02
GRV-2024-101260,सर मदद करें सड़क नीचे जा रही है,Hindi,Roads & Traffic,High,Frustrated,Ward_02
GRV-2024-102114,TOXIC SMOKE FROM GARBAGE SINCE YESTERDAY EVENING NEAR DAIRY BOOTH!!!,English,Sanitation & Waste,Critical,Panic,Ward_14
GRV-2024-100807,baarish ke baad road pura dhans gaya metro station ke pass,Hinglish,Roads & Traffic,Critical,Panic,Ward_25
GRV-2024-100886,গতকাল সন্ধ্যা থেকে রাস্তায় জল জমেছে রেলওয়ে ক্রসিংয়ের কাছে,Bengali,Roads & Traffic,High,Neutral,Ward_12
GRV-2024-101582,पाणी येत नाहीये मुसळधार पावसानंतर रुग्णालयासमोर!!,Marathi,Water Supply,Critical,Panic,Ward_28
GRV-2024-101614,at colony gate sewgae mixed with drinking water,English,Water Supply,Medium,Angry,Ward_21
GRV-2024-101837,mosquitoes breeding in stagnant water Kids are in dagner after heavy rain ????,English,Sanitation & Waste,Critical,Neutral,Ward_04
GRV-2024-101873,COMPLETELY UNACCEPTABLE GUTTER OVERFLOWING INTO HOUSES AT COLONY GATE,English,Sanitation & Waste,High,Panic,Ward_17
GRV-2024-100282,bachao apartment ke bagal me puri colony me andhera hai,Hinglish,Electricity,Low,Angry,Ward_25
GRV-2024-100210,pole fell down in slum area ????,English,Electricity,Critical,Angry,Ward_19
GRV-2024-100111,trnsfrmr xpldd besid hsptl,English,Electricity,Medium,Frustrated,Ward_21
GRV-2024-101920,kachra road par fail raha atm ke saamne ????,Hinglish,Sanitation & Waste,Critical,Frustrated,Ward_26
GRV-2024-102165,Look at this public toilet has no water near bus stand after heavy rain!!,English,Public Parks & Infrastructure,Critical,Angry,Ward_18
GRV-2024-100457,khamba gir gaya,Hinglish,Electricity,High,Frustrated,Ward_01
GRV-2024-100819,உதவி மின்வெட்டின் போது சாலை முற்றிலும் இடிந்தது ஏடிஎம் அருகில்,Tamil,Roads & Traffic,High,Panic,Ward_20
GRV-2024-102184,BAARISH KE BAAD PUBLIC TOILET ME PAANI NAHI RAILWAY CROSSING PE,Hinglish,Public Parks & Infrastructure,High,Panic,Ward_10
GRV-2024-101655,pplne brst sddnly ftr pplin dgging nr gvt schol,English,Water Supply,High,Frustrated,Ward_16
GRV-2024-100252,entire area is dark at night time beside apartment tower,English,Electricity,High,Neutral,Ward_03
GRV-2024-100251,கட்டுமான பணிக்கு பின் மீட்டர் பெட்டியில் தீ உதவி,Tamil,Electricity,Medium,Neutral,Ward_23
GRV-2024-101539,tanker did not come in slum area,English,Water Supply,High,Frustrated,Ward_08
GRV-2024-102129,during power cut no sweeping done at colony gate,English,Sanitation & Waste,High,Pleading,Ward_27
GRV-2024-101926,KACHRE SE DUHAAN AA RAHA GARDEN ME!!!,Hinglish,Sanitation & Waste,Critical,Angry,Ward_01
GRV-2024-101018,SLUM R M SGNL KHRB PD HA,Hinglish,Roads & Traffic,High,Angry,Ward_08
GRV-2024-100422,short circuit ho gaya bus stand ke waha power cut ke time Arre yaar,Hinglish,Electricity,Low,Panic,Ward_23
GRV-2024-101175,HG POTHL CAUSD CCDNT NRA GVT SCHOL,English,Roads & Traffic,Critical,Angry,Ward_06
GRV-2024-100620,near dairy booth pole fell down after pipeline digging Emergenyc,English,Electricity,High,Angry,Ward_07
GRV-2024-100173,construction ke baad transformer udd gaya traffic chauraha pe,Hinglish,Electricity,Medium,Neutral,Ward_29
GRV-2024-100486,SPARKING!!,Hindi,Electricity,High,Panic,Ward_28
GRV-2024-101985,gttr vrflowng nt hss tsid templ,English,Sanitation & Waste,Critical,Panic,Ward_17
GRV-2024-101080,MNHLE KHL HA GVT SCHL EK PASS,Hinglish,Roads & Traffic,High,Panic,Ward_02
GRV-2024-101117,सड़क पूरी तरह धंस गई है रात के समय बाजार की सड़क पर,Hindi,Roads & Traffic,Low,Panic,Ward_15
GRV-2024-101357,outside temple Kids are in danger tap is dry,English,Water Supply,High,Angry,Ward_24
GRV-2024-101041,traffic signal is dead Why is nobody listening suddenly tdoay,English,Roads & Traffic,High,Frustrated,Ward_09
GRV-2024-101090,sgnl khrb pad ha petrl pump k pss ????,Hinglish,Roads & Traffic,Critical,Frustrated,Ward_25
GRV-2024-101355,baarish ke baad tanker nahi aaya apartment ke bagal me,Hinglish,Water Supply,High,Frustrated,Ward_15
GRV-2024-100211,TRANSFORMER EXPLODED AT COLONY GATE,English,Electricity,High,Panic,Ward_05
GRV-2024-100613,transformer blast ho gaya railway crossing pe sir pls,Hinglish,Electricity,High,Panic,Ward_10
GRV-2024-102149,இறந்த விலங்கு ஏடிஎம் அருகில்!!,Tamil,Sanitation & Waste,Critical,Panic,Ward_04
GRV-2024-100464,trnsfrmr s chngr  rh kl sham s,Hinglish,Electricity,High,Pleading,Ward_12
GRV-2024-101467,जलभराव के बाद पीने के पानी में सीवर का पानी,Hindi,Water Supply,High,Angry,Ward_26
GRV-2024-100554,durng powr ct bsid hspital crrnt sprdng n rod,English,Electricity,Critical,Panic,Ward_08
GRV-2024-100907,manhle khul h barsh k bd,Hinglish,Roads & Traffic,Medium,Frustrated,Ward_07
GRV-2024-100993,खतरा है डिवाइडर टूट गया है!!,Hindi,Roads & Traffic,Critical,Pleading,Ward_25
GRV-2024-101968,GUTTER OVERFLOW,Hinglish,Sanitation & Waste,High,Angry,Ward_01
GRV-2024-101788,बिजली कटौती के दौरान सीवर लाइन जाम है बस स्टैंड के पास,Hindi,Sanitation & Waste,Critical,Frustrated,Ward_22
GRV-2024-101598,TERRIBLE SITUATION DURING FESTIVAL CROWD TANKER DID NOT COME BESIED ATM!!!,English,Water Supply,Critical,Panic,Ward_14
GRV-2024-100096,petrol pump ke pass taar toot ke gir gaya pls help jaldi,Hinglish,Electricity,High,Angry,Ward_01
GRV-2024-101964,gutter ka paani ghar me aa raha Pls help jalid ????,Hinglish,Sanitation & Waste,Critical,Angry,Ward_22
GRV-2024-101364,nl skh gy mndr k bhar,Hinglish,Water Supply,High,Frustrated,Ward_12
GRV-2024-101924,KACHRA RAOD PAR FAIL RAHA COLONY GATE PAR!!,Hinglish,Sanitation & Waste,Critical,Panic,Ward_02
GRV-2024-100611,nangi taar latak rahi hai coaching center ke bahar,Hinglish,Electricity,High,Panic,Ward_28
GRV-2024-100445,taar toot ke gir gaya garden me,Hinglish,Electricity,Critical,Panic,Ward_15
GRV-2024-100237,transformer blasted after waterlogging,English,Electricity,Critical,Panic,Ward_01
GRV-2024-102310,Jhoole rboken,English,Public Parks & Infrastructure,Medium,Angry,Ward_28
GRV-2024-100873,man mrkt rd collpsd,English,Roads & Traffic,Critical,Angry,Ward_11
GRV-2024-102497,பூங்கா விளக்குகள் எரியவில்லை கோவில் வெளியே,Tamil,Public Parks & Infrastructure,Critical,Neutral,Ward_11
GRV-2024-102054,गटार तुंबले आहे मुख्य चौकात,Marathi,Sanitation & Waste,High,Angry,Ward_10
GRV-2024-101673,ঘোলা জল আসছে হাসপাতালের সামনে,Bengali,Water Supply,High,Frustrated,Ward_26
GRV-2024-102122,Gttr vrflw,English,Sanitation & Waste,High,Angry,Ward_29
GRV-2024-100839,terrbl sttn slippry md evrywhre t trffic sqr!!,English,Roads & Traffic,Critical,Frustrated,Ward_27
GRV-2024-100581,OUTSIDE COACHING CENTER CURRENT SPREADING ON ROAD!!,English,Electricity,Critical,Angry,Ward_14
GRV-2024-101281,PAANI BHAR GAYA PURA BUS STAND KE WAHA,Hinglish,Roads & Traffic,High,Angry,Ward_08
GRV-2024-100979,PLEASE CHECK IMMEDIATELY OPEN MANHOLE OUTSIDE COACHING CENTER,English,Roads & Traffic,Critical,Angry,Ward_11
GRV-2024-100790,पाइपलाइन खुदाई के बाद एटीएम के सामने सड़क पूरी तरह धंस गई है,Hindi,Roads & Traffic,Critical,Angry,Ward_06
GRV-2024-100841,durng fstivl crwd bsd hsptal min mrkt rd cllpsd,English,Roads & Traffic,High,Pleading,Ward_11
GRV-2024-100482,TRANSFORMER SE CHINGARI AA RAHI PIPELINE KHUDAI KE BAAD SABZI MANDI KE PAAS,Hinglish,Electricity,High,Angry,Ward_25
GRV-2024-101910,Nl block!!!,Hinglish,Sanitation & Waste,Critical,Panic,Ward_09
GRV-2024-100621,bachao power cut ke time puri colony me andhera hai govt school ke pass,Hinglish,Electricity,Critical,Angry,Ward_05
GRV-2024-101502,சேற்று நீர் வருகிறது மின்வெட்டின் போது ரயில்வே கிராசிங் அருகில்,Tamil,Water Supply,High,Panic,Ward_16
GRV-2024-100332,pr clny me ndhra h powr cut k tm trffic chrah p,Hinglish,Electricity,Critical,Angry,Ward_15
GRV-2024-100478,FTR WTLRGGNG CRRENT SPRDNG N RD T COLNY GT,English,Electricity,Critical,Panic,Ward_01
GRV-2024-101494,kchd wl pan a rha partmetn k bgl me,Hinglish,Water Supply,High,Angry,Ward_12
GRV-2024-100507,ट्रांसफार्मर फट गया बिजली कटौती के दौरान कोचिंग सेंटर के बाहर,Hindi,Electricity,High,Frustrated,Ward_13
GRV-2024-101450,Ganda paani,Hindi,Water Supply,High,Frustrated,Ward_03
GRV-2024-102423,தெரு நாய்கள் அரசு பள்ளி அருகில்,Tamil,Public Parks & Infrastructure,High,Frustrated,Ward_15
GRV-2024-100643,nr rlwy crssing trnsfrmer xplodd Terrbl statn,English,Electricity,Critical,Frustrated,Ward_14
GRV-2024-100480,koi sun lo transformer se chingari aa rahi colony gate par construction ke baad!!,Hinglish,Electricity,Critical,Panic,Ward_26
GRV-2024-101455,नल सूखे हैं कॉलोनी गेट पर,Hindi,Water Supply,High,Panic,Ward_06
GRV-2024-102394,Dogs in park,Hindi,Public Parks & Infrastructure,Critical,Panic,Ward_16
GRV-2024-101011,मॅनहोल उघडे आहे शाळेजवळ,Marathi,Roads & Traffic,High,Angry,Ward_15
GRV-2024-100764,KOI SUN LO BOHOT BADA GADDHA BAN GAYA,Hinglish,Roads & Traffic,Critical,Angry,Ward_12
GRV-2024-101289,manhole khula hai railway crossing pe,Hinglish,Roads & Traffic,Medium,Panic,Ward_28
GRV-2024-101223,nar rlway crossing dgging lft nfinshd,English,Roads & Traffic,High,Angry,Ward_04
GRV-2024-101333,சேற்று நீர் வருகிறது ஏடிஎம் அருகில்,Tamil,Water Supply,High,Frustrated,Ward_09
GRV-2024-100617,Current lak,English,Electricity,Low,Angry,Ward_28
GRV-2024-100521,ralwy crossng p khamb gr gy,Hinglish,Electricity,Critical,Frustrated,Ward_03
GRV-2024-100582,bijli gayi,Hinglish,Electricity,High,Frustrated,Ward_24
GRV-2024-101058,near bus stnad main market road collapsed look at this!!!,English,Roads & Traffic,Critical,Frustrated,Ward_14
GRV-2024-101406,SMELLY WATER,Hindi,Water Supply,High,Panic,Ward_17
GRV-2024-100296,TERRBLE STATN AFTR CNSTRCTON WORK TRANSFRMER BLSTD NAR METR STTN,English,Electricity,Low,Angry,Ward_17
GRV-2024-102442,Dgs n park,English,Public Parks & Infrastructure,High,Frustrated,Ward_09
GRV-2024-101061,RD NDR J RH H COLNY GT PR WTRLGGING K BD,Hinglish,Roads & Traffic,Critical,Angry,Ward_15
GRV-2024-100857,Manhole open!!!,English,Roads & Traffic,Critical,Pleading,Ward_14
GRV-2024-101692,कोई सुन क्यों नहीं रहा रात के समय पानी बिल्कुल नहीं आ रहा,Hindi,Water Supply,Critical,Neutral,Ward_15
GRV-2024-100407,METER BOX CAUGHT FIRE NEAR METRO STATION,English,Electricity,Critical,Panic,Ward_17
GRV-2024-101078,ভারী বৃষ্টির পর জরুরী রাস্তায় জল জমেছে!!!,Bengali,Roads & Traffic,Critical,Panic,Ward_15
GRV-2024-101083,রাস্তায় জল জমেছে রেলওয়ে ক্রসিংয়ের কাছে!!!,Bengali,Roads & Traffic,Critical,Frustrated,Ward_01
GRV-2024-100168,तूफान के दौरान खंभा गिर गया ट्रैफिक चौराहे पर,Hindi,Electricity,High,Pleading,Ward_18
GRV-2024-102180,जिमचे साहित्य खराब!!!,Marathi,Public Parks & Infrastructure,Critical,Panic,Ward_21
GRV-2024-100239,तार तुटून पडली आहे मंडईजवळ,Marathi,Electricity,Critical,Panic,Ward_03
GRV-2024-102305,रास्ते की टाइलें गायब हैं कल शाम से सब्जी मंडी के पास,Hindi,Public Parks & Infrastructure,High,Angry,Ward_29
GRV-2024-101997,அரசு பள்ளி அருகில் சாக்கடை அடைப்பு நேற்று மாலை முதல் ஐயா தயவுசெய்து உதவுங்கள்,Tamil,Sanitation & Waste,High,Frustrated,Ward_25
GRV-2024-101901,তাড়াতাড়ি আসুন ময়লা পোড়ানো ধোঁয়া মন্দিরের বাইরে,Bengali,Sanitation & Waste,High,Panic,Ward_12
GRV-2024-101050,OUTSIDE COACHING CENTER PLEASE CHECK IMMEDIATELY SLIPPERY MUD EVERYWHERE,English,Roads & Traffic,High,Angry,Ward_07
GRV-2024-101912,DURING HTE STORM SIR PLS HELP MOSQUITOES BREEDING IN STAGNANT WATER!!,English,Sanitation & Waste,Critical,Panic,Ward_21
GRV-2024-101867,এটিএম এর সামনে মশা বাড়ছে ????,Bengali,Sanitation & Waste,Critical,Angry,Ward_21
GRV-2024-102095,Emergency hai sewer line block ho gayi hospital ke bagal me,Hinglish,Sanitation & Waste,High,Panic,Ward_24
GRV-2024-100522,BAARISH KE BAAD SHORT CIRCUIT HO GAYA BUS STAND KE WAHA,Hinglish,Electricity,Critical,Panic,Ward_29
GRV-2024-101737,रेलवे क्रॉसिंग के पास पानी बिल्कुल नहीं आ रहा,Hindi,Water Supply,High,Frustrated,Ward_21
GRV-2024-102472,apartment ke bagal me tiles gayab hain path se construction ke baad koi action kyu nahi le raha,Hinglish,Public Parks & Infrastructure,High,Frustrated,Ward_04
GRV-2024-101847,mosquitoes breeding in stagnant water near vegetable market,English,Sanitation & Waste,Critical,Frustrated,Ward_16
